backfill-profiles-safe paused: reason=429 wait_sec=322 remaining=1078
{"timestamp": "2026-03-15T07:39:05Z", "level": "WARNING", "message": "Rate limited (429). Waiting 123.0s", "event_code": "RATE_LIMITED", "retry_after": 123.0}
{"timestamp": "2026-03-15T07:39:05Z", "level": "WARNING", "message": "Safe backfill throttled: user_id=368276004277321728 consecutive_429=1 cooldown=322s"}
worker cooldown: wait_sec=322
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1076
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1075
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1074
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1073
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1072
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1071
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1070
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1069
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1068
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1067
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1066
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1065
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1064
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1063
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1062
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1061
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1060
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1059
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1058
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1057
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1056
{"timestamp": "2026-03-15T08:10:02Z", "level": "WARNING", "message": "Safe backfill terminal marker: user_id=1015609527858639011 status=404"}
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1055
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1054
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1053
{"timestamp": "2026-03-15T08:13:51Z", "level": "WARNING", "message": "Safe backfill terminal marker: user_id=948107723365576724 status=404"}
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1052
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1051
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1050
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1049
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1048
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1047
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1046
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1045
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1044
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1043
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1042
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1041
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1040
{"timestamp": "2026-03-15T08:30:28Z", "level": "WARNING", "message": "Safe backfill terminal marker: user_id=1336209615582400523 status=404"}
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1039
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1038
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1037
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1036
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1035
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1034
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1033
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1032
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1031
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1030
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1029
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1028
{"timestamp": "2026-03-15T08:45:49Z", "level": "WARNING", "message": "Safe backfill terminal marker: user_id=308974027198693389 status=404"}
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1027
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1026
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1025
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1024
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1023
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1022
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1021
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1020
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1019
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1018
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1017
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1016
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1015
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1014
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1013
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1012
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1011
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1010
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1009
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1008
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1007
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1006
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1005
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1004
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1003
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1002
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1001
backfill-profiles-safe paused: processed=1 inserted=1 remaining=1000
backfill-profiles-safe paused: processed=1 inserted=1 remaining=999
backfill-profiles-safe paused: processed=1 inserted=1 remaining=998
backfill-profiles-safe paused: processed=1 inserted=1 remaining=997
backfill-profiles-safe paused: processed=1 inserted=1 remaining=996
backfill-profiles-safe paused: processed=1 inserted=1 remaining=995
backfill-profiles-safe paused: processed=1 inserted=1 remaining=994
backfill-profiles-safe paused: processed=1 inserted=1 remaining=993
backfill-profiles-safe paused: processed=1 inserted=1 remaining=992
